Name;Speed;Control
Victas Liam Pitchford 90th Anniversary;-;-
Victas Lightness;-;-
Victas Multy;-;-
Victas Ni Xialan The Legend;-;-
Victas Quartet AFC;8.6;9.3
Victas Quartet Allround;-;-
Victas Quartet Hold;8.8;9
Victas Quartet Hold II;-;-
Victas Quartet II Speed;9;8.8
Victas Quartet LFC;8.9;9.6
Victas Quartet SFC;-;-
Victas Quartet Speed;9.3;9.2
Victas Quartet VFC;9.1;9
Victas Sleek;-;-
Victas Spin Ace Carbon;-;-
Victas Super Defensive;-;-
Victas SWAT;8.5;9.4
Victas SWAT 5PW;-;-
Victas SWAT Carbon;8.8;8.4
Victas SWAT Kids;-;-
Victas SWAT Kids Carbon;-;-
Victas SWAT Power;-;-
Victas SWAT Speed;-;-
Victas Walnut Wood;-;-
Victas WFS Mid-S;-;-
Victas WFS Mid-SR;-;-
Victas WFS Rotor-S And SR;-;-
Victas Yuto Muramatsu;7.3;9.2
Victas ZX-Gear Fiber;8;9
Victas ZX-GEAR IN;8.7;9.3
Victas ZX-GEAR OUT;8.9;8.5
Victas ZX-Large;-;-
XVT ALC Dragon;8.7;9.3
XVT ALC WHEEL;9;8.5
XVT Allround Classic;8.2;9.1
XVT Archer B Carbon;8.3;8.1
XVT Balsa Pro;8.3;8.8
XVT Black Knight 7;9.1;9.2
XVT Cannon;9.1;9
XVT Cannon Walnut;8.6;8.9
XVT Carbo V;8.8;8.8
XVT Dark Power;10;9
XVT Foundation;8;10
XVT Hinoki ALC Carbon;9;8.9
XVT Hinoki Balsa Carbon;8.7;8.6
XVT Hinoki ZL Carbon;9.3;9.3
XVT Hybrid;8.7;8
XVT LEX (-S918) ZL Carbon;8.9;9.4
XVT LEX S912;8.9;9.5
XVT Nano Carbo 40+;8.9;8.9
XVT RAGE 301 Kevlar Carbon (DHS 301);9.2;8.8
XVT Rose Wood Nano 7;9.1;8.6
XVT Single Hinoki 1Ply Hinoki 800;8.2;7.7
XVT Spring ZL;9;8
XVT Titanium Multi-carbon;-;-
XVT ZL Koto;9.5;8.7
XVT ZLC Carbon;9.2;8.9
Yinhe 2020;8;6
Yinhe 2024;9;7.5
Yinhe 350 Year;7;7.7
Yinhe 3A;7;10
Yinhe 677s;9.6;9.6
Yinhe 896;7.6;8.7
Yinhe 901;8.3;8
Yinhe 960;-;-
Yinhe 966;7.4;8.5
Yinhe 970;9;7
Yinhe 970 XX - A;9.1;9.3
Yinhe 970 XX - C;9.5;9.3
